2025-12-03 13:24:10,92991
2025-12-03 13:25:10,92980
2025-12-03 13:26:10,92961
2025-12-03 13:27:10,93023
2025-12-03 13:28:10,93027
2025-12-03 13:29:10,93014
2025-12-03 13:30:11,92997
2025-12-03 13:31:11,92996
2025-12-03 13:32:11,93035
2025-12-03 13:33:12,93042
2025-12-03 13:34:12,93070
2025-12-03 13:35:12,93083
2025-12-03 13:36:13,93109
2025-12-03 13:37:44,93147
2025-12-03 13:38:45,93054
2025-12-03 13:39:45,92993
2025-12-03 13:40:45,92945
2025-12-03 13:41:46,92946
2025-12-03 13:42:46,93002
2025-12-03 13:43:46,93004
2025-12-03 13:44:47,92988
2025-12-03 13:45:47,93015
2025-12-03 13:46:47,92988
2025-12-03 13:47:48,92957
2025-12-03 13:48:48,92957
2025-12-03 13:49:48,92923
2025-12-03 13:50:49,92880
2025-12-03 13:51:49,92860
2025-12-03 13:52:49,92879
2025-12-03 13:53:50,92902
2025-12-03 13:54:50,92882
2025-12-03 13:55:50,92876
2025-12-03 13:56:51,92874
2025-12-03 13:57:51,92880
2025-12-03 13:58:51,92904
2025-12-03 13:59:52,92909
2025-12-03 14:00:52,92865
2025-12-03 14:01:52,92906
2025-12-03 14:02:53,92956
2025-12-03 14:03:53,92979
2025-12-03 14:04:53,92961
2025-12-03 14:05:54,92907
2025-12-03 14:06:54,92853
2025-12-03 14:07:54,92847
2025-12-03 14:08:55,92853
2025-12-03 14:09:55,92899
2025-12-03 14:10:55,92913
2025-12-03 14:11:55,92843
2025-12-03 14:12:56,92838
2025-12-03 14:13:56,92838
2025-12-03 14:14:56,92849
2025-12-03 14:15:56,92846
2025-12-03 14:16:57,92835
2025-12-03 14:17:57,92876
2025-12-03 14:18:57,92874
2025-12-03 14:19:57,92874
2025-12-03 14:20:57,92854
